"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P5";"gpib_conn_male";1;"GPIB";;;
2;"C2,C3";"C_0805";2;"18p";;;
3;"C7,C8,C4,C5";"C_0805";4;"100n";;;
4;"R1";"R_0805";1;"R";;;
5;"R2,R3";"R_0805";2;"22";;;
6;"R4,R5,R6";"R_0805";3;"470";;;
7;"U1";"SOIC-20_7.5x12.8mm_Pitch1.27mm";1;"SN75160";;;
8;"U2";"SOIC-20_7.5x12.8mm_Pitch1.27mm";1;"SN75161";;;
9;"P1";"TC2030-NL_SMALL";1;"TC2030-MCP";;;
10;"D4";"PRTR5V0U2X";1;"PRTR5V0U2X";;;
11;"F1";"R_1210";1;"F_Small";;;
12;"D3,D1,D2";"LED-5MM";3;"PWR";;;
13;"U3";"TQFP-44_10x10mm_Pitch0.8mm";1;"PIC18(L)F4550-I/PT";;;
14;"X1";"Crystal_SMD_5032_4Pads";1;"8MHz";;;
15;"C1";"C_0805";1;"1u";;;
16;"C6,C9";"C_0805";2;"10n";;;
17;"C10";"C_1206";1;"C";;;
18;"R7";"R_1206";1;"R";;;
19;"P2";"USB_B";1;"USB";;;
